S,E,I,R,total_cases,time,eff_repr_number,gr_I
10568838.60040792,113800.39033615717,176870.9128955286,140491.09636039022,317362.00925591873,184,2.504616104879438,0.06839846706630559
10539427.346153447,121326.95414136976,188929.44151726022,150317.2581879196,339246.6997051797,185,2.4980888966337904,0.06817700222339074
10508116.296247145,129305.89748202366,201765.467998616,160813.33827221184,362578.8062708278,186,2.4911371462601655,0.06794084806619782
10474797.659606047,137758.0153765803,215422.79407856922,172022.53093880162,387445.3250173708,187,2.4837363533187475,0.06768911556286183
10439359.614337036,146704.1346116322,229946.787108162,183990.46394316657,413937.25105132855,188,2.4758610399195167,0.06742087387602802
10401686.461754048,156164.95361546084,245384.29918131305,196765.28544917557,442149.5846304886,189,2.467484775435593,0.0671351501244919
10361658.83632869,166160.8571916912,261783.5599648116,210397.74651480408,472181.3064796157,190,2.458580212907301,0.06683092943685542
10319153.978384819,176711.70413716196,279194.03985405754,224941.27762396028,504135.3174780178,191,2.44911913866686,0.0665071553446146
10274046.076612843,187836.58588275968,297666.2798885427,240452.05761585236,538118.3375043952,192,2.439072536793454,0.06616273056595734
10226206.687647315,199553.554486219,317251.68470124836,256989.07316521584,574240.7578664643,193,2.4284106700711567,0.06579651823525046
10175505.239992332,211879.31858615877,338002.2746617767,274614.1667597296,612616.4414215065,194,2.4171031791618036,0.0654073436365481
10121809.629461395,224828.9063120652,359970.39331893076,293392.0709076061,653362.464226537,195,2.4051192017146237,0.06499399650235049
10064986.912985535,238415.2946509879,383208.3662714813,313390.42609199113,696598.7923634726,196,2.392427513106556,0.06455523394103668
10004904.107097875,252649.0054134577,407768.10771492234,334679.7797737401,742447.8874886626,197,2.3789966904332456,0.06408978405769417
9941429.096584028,267537.6687324089,433700.67114787793,357333.56353568024,791034.2346835583,198,2.364795301241743,0.06359635033322775
9874431.65765592,283085.5559812059,461055.74109674967,381428.0452661179,842483.7863628678,199,2.3497921183023958,0.06307361682533474
9803784.598522672,299293.08511806745,489881.0632544271,407042.2531048262,896923.3163592536,200,2.333956361449912,0.06252025425192276
9729365.01836119,316156.3027568432,520221.8111518864,434257.8677300722,954479.6788819588,201,2.3172579671728166,0.06193492701248049
9651055.683402589,333666.3487237448,552119.8884129266,463159.0794607325,1015278.9678736595,202,2.299667886188292,0.061316301195466494
9568746.516129743,351808.91047279385,585613.1668026722,493832.406594784,1079445.5733974564,203,2.2811584086989387,0.060663053609646855
9482336.190421352,370563.6764748787,620734.6616866081,526366.4714171547,1147101.133103763,204,2.2617035163848924,0.05997388186418706
9391733.821891453,389903.7995288386,657511.648179957,560851.730399744,1218363.3785797013,205,2.2412792594378415,0.05924751550593532
9296860.73869534,409795.3828155598,695964.7231904626,597380.1552986305,1293344.8784890934,206,2.2198641560957837,0.05848272820252953
9197652.313764084,430197.0033592079,736106.8207341556,636044.862142545,1372151.682876701,207,2.197439611197116,0.05767835093662854
9094059.834881308,451059.2892882896,777942.1903137297,676939.6855166648,1454881.875830395,208,2.1739903492542063,0.056833286149759576
8986052.384350814,472324.5688018054,821465.3507577236,720158.6960896497,1541624.0468473737,209,2.149504856471504,0.05594652274411516
8873618.695379771,493926.60992634523,866660.0346732399,765795.6600206343,1632455.6946938748,210,2.123975825030572,0.05501715181757638
8756768.947910417,515790.47087140183,913498.1414934682,813943.4397247032,1727441.5812181719,211,2.0974005918715286,0.05404438297179337
8635536.462695083,537832.4809191593,961938.7199114084,864693.3364743403,1826632.056385749,212,2.06978156316232,0.053027560996178114
8509979.249171196,559960.3711893625,1011927.0031700146,918134.3764694185,1930061.3796394335,213,2.0411266147164184,0.05196618269322806
8380181.360415912,582073.5731774601,1063393.523094421,974352.5433121971,2037746.0664066186,214,2.0114494578541504,0.050859913573982896
8246254.007408593,604063.7005737302,1116253.330755781,1033429.9612618871,2149683.2920176685,215,1.980769959664674,0.04970860411820133
8108336.3852542,625815.2264639444,1170405.353089083,1095444.035192764,2265849.3882818474,216,1.949114406377085,0.048512305263749944
7966596.166141151,647206.3635646957,1225731.9154853197,1160466.554808824,2386198.4702941445,217,1.9165156986495655,0.047271282765592115
7821229.617789986,668110.1496918818,1282098.4601823373,1228562.7723357864,2510661.2325181244,218,1.8830134680866843,0.045986030048585036
7672461.312088809,688395.734298466,1339353.489044578,1299790.4645681384,2639143.953612717,219,1.8486541052363505,0.04465727917191176
7520543.396510078,707929.8548197992,1397328.756932832,1374198.9917372817,2771527.748670114,220,1.8134906907218376,0.04328600952808248
7365754.4106555525,726578.4839782089,1455839.7382437899,1451828.367122439,2907668.1053662295,221,1.7775828230312163,0.04187345391745234
7208397.641659416,744208.6214400739,1514686.3843200726,1532708.3525804272,3047394.7369005005,222,1.7409963387916454,0.04042110167103319
7048799.024850808,760690.195664052,1573654.1833313648,1616857.5961537645,3190511.77948513,223,1.7038029240465054,0.03893069854045206
6887304.60958054,775898.0348450794,1632515.5270133077,1704282.8285610625,3336798.355574371,224,1.6660796180484074,0.03740424313386037
6724277.62390067,789713.8599778189,1691031.3805041434,1794978.1356173572,3486009.5161215016,225,1.6279082142728354,0.035843979749393684
6560095.185228791,802028.2486539625,1748953.242694092,1888924.323423143,3637877.566117236,226,1.5893745666151977,0.03425238754154902
6395144.716576733,812742.5156417983,1806025.375319755,1986088.3924617036,3792113.7677814593,227,1.5505678119115496,0.032632166047932065
6229820.138729856,821770.4558652514,1861987.269869858,2086423.1355350234,3948410.405404882,228,1.5115795228654532,0.030986217200959842
6064517.917336301,829039.8972847196,1916576.3126289526,2189866.8727500155,4106443.1853789687,229,1.4725028080177107,0.0293176240474029
5899633.049711391,834494.0154317992,1969530.6002940638,2296343.334562735,4265873.934856799,230,1.4334313774220915,0.027629626493961057
5735555.078924996,838092.3678659262,2020591.8519633291,2405761.7012457387,4426353.553209068,231,1.3944585940719112,0.025925594485123327
5572664.222229949,839811.615355987,2069508.3582814632,2518016.80413259,4587525.162414054,232,1.3556765317753143,0.02420899909628149
5411327.6971040685,839645.9067595626,2116037.905432576,2632989.4907037825,4749027.396136359,233,1.3171750600566188,0.022483382086821546
5251896.321300823,837606.915878276,2159950.6107041864,2750547.1521167033,4910497.76282089,234,1.2790409757663275,0.020752324501783326
5094701.453693883,833723.5304317019,2201031.6076074685,2870544.408266936,5071576.015874404,235,1.2413571994568129,0.01901941493462611
4940052.330867108,828041.2050985339,2239083.5220114407,2992823.9420229066,5231907.464034347,236,1.2042020523092767,0.017288218066679573
4788233.840963917,820621.0017135458,2273928.6862989846,3117217.4710235423,5391146.157322526,237,1.1676486266005321,0.015562244081114729
4639504.761953512,811538.3496251911,2305411.045936689,3243546.842484597,5548957.888421285,238,1.1317642595219932,0.013844919511941445
4494096.476898337,800881.5674447529,2333397.7217313754,3371625.233925524,5705022.955656898,239,1.0966101167699105,0.012139560033779473
4352212.164688409,788750.1936076123,2357780.2010155893,3501258.440688378,5859038.641703966,240,1.0622408888813442,0.010449345628966489
4214026.4516426595,775253.1771134362,2378475.1416102042,3632246.229633689,6010721.371243891,241,1.028704599953206,0.008777298488510832
4079685.4978578864,760506.9814533179,2395424.7831878625,3764383.7375009223,6159808.520688782,242,0.9960425252934899,0.0071262639163778285
3949307.4825781127,744633.654145915,2408596.971153491,3897462.8921224703,6306059.863275959,243,0.9642892118310267,0.005498894416588129
3822983.445388623,727758.9116919598,2417984.807955076,4031273.834964331,6449258.642919404,244,0.9334725928391363,0.0038976370534455906
3700778.4348011147,710010.2854156294,2423605.955488077,4165606.3242951683,6589212.279783243,245,0.903614186763294,0.002324724090286834
3582732.912754974,691515.3679587645,2425501.6196861896,4300251.099600062,6725752.719286249,246,0.8747293687048663,0.0007821668344312194
3468864.3625733955,672400.193532888,2423735.254311078,4435001.189582628,6858736.443893704,247,0.8468277023941118,-0.000728247452310482
3359169.0487572206,652787.7778235073,2418391.025263796,4569653.148155466,6988044.173419259,248,0.8199133202525009,-0.002204955775502504
3253623.8793912134,632796.8360696093,2409572.0794246015,4704008.205114566,7113580.284539164,249,0.7939853393439485,-0.0036466170057146696
3152188.3255620627,612540.6906546043,2397398.663145168,4837873.320638155,7235271.98378332,250,0.7690383015798958,-0.0050521071286401265
3054806.3567204378,592126.3728318824,2382006.1351903393,4971062.135257331,7353068.270447667,251,0.745062627399885,-0.006420512446034032
2961408.3560474273,571653.9171910695,2363542.9173269216,5103395.809434572,7466938.72676149,252,0.7220450732207332,-0.007751121036446151
2871912.985321073,551215.8423037566,2342168.4230890935,5234703.749286068,7576872.1723751575,253,0.6999691841594661,-0.00904341278558285
2786228.9742706185,530896.806757335,2318051.0017365757,5364824.217235462,7682875.218972034,254,0.6788157348199141,-0.010297048288572364
2704256.814746672,510773.42652025574,2291365.930290014,5493604.828443049,7784970.75873306,255,0.6585631522309505,-0.011511856911936125
2625890.345062181,490914.2372585439,2262293.481997883,5620902.935681383,7883196.417679263,256,0.6391879162866755,-0.012687824283243776
2551018.2144538374,471379.78377870587,2231017.09486396,5746585.906903488,7977603.001767444,257,0.6206649342269761,-0.013825079452689737
2479525.221699264,452222.81811429735,2197721.6591238333,5870531.301062597,8068252.9601864265,258,0.6029678867829174,-0.014923881944596706
2411293.525461231,433488.5877918888,2162591.937955173,5992626.948791699,8155218.8867468685,259,0.5860695445771401,-0.01598460888931008
2346203.7269056635,415215.19638747745,2125811.1313620866,6112770.945344764,8238582.076706847,260,0.5699420542051952,-0.017007742398163384
2284135.827568836,397434.0194959443,2087559.589181443,6230871.563753769,8318431.152935208,261,0.5545571941270483,-0.017993857317011197
2224970.0673625064,380170.16056843847,2048013.675582976,6346847.096486071,8394860.772069043,262,0.5398866010720339,-0.018943609467921063
2168587.6490479987,363442.93261978484,2007344.7843137498,6460625.634018458,8467970.418332204,263,0.5259019681127772,-0.019857724464486193
2114871.356533149,347266.3534769837,1965718.5012873034,6572144.788702556,8537863.289989855,264,0.5125752159045074,-0.020736987164204135
2063706.075005184,331649.64395168255,1923293.9089357192,6681351.372107406,8604645.281043122,265,0.49987863882795897,-0.02158223180165486
2014979.2212639041,316597.7200099464,1880223.025011195,6788201.033714946,8668424.058726138,266,0.4877850279298591,-0.022394332828911123
1968581.0927170513,302111.6716318095,1836650.3672133407,6892657.86843779,8729308.235651128,267,0.47626777263803444,-0.023174196474694764
1924405.1433938192,288189.2225643091,1792712.634092221,6994693.999949642,8787406.63404186,268,0.46530094325121735,-0.023922753021188403
1882348.1950687307,274825.1665501074,1748538.4920930546,7094289.146288099,8842827.638381151,269,0.45485935617859763,-0.02464094978698861
1842310.591206826,262011.7768446836,1704248.45832188,7191430.173626602,8895678.63194848,270,0.4449186238418251,-0.02532974479627148
1804196.300977011,249739.18691205967,1659954.868577548,7286110.643533373,8946065.512110919,271,0.4354551910620506,-0.025990101107643993
1767912.9800627595,237995.74111245372,1615761.920370431,7378330.3584543485,8994092.278824776,272,0.4264463596448972,-0.02662298177117739
1733371.9944522653,226768.31497055304,1571765.7809911352,7468094.909586039,9039860.690577172,273,0.41787030275389747,-0.027229345378562475
1700488.4128329565,216042.60524937086,1528054.751165452,7555415.230752214,9083469.981917663,274,0.40970607053361996,-0.027810142168968488
1669180.972663209,205803.39056347017,1484709.4754007973,7640307.161372516,9125016.63677331,275,0.401933588312009,-0.028366310651889326
1639372.0244586044,196034.76365971513,1441803.1907646682,7722791.0211170055,9164594.211881671,276,0.39453364858097234,-0.028898774707790342
1610987.458319548,186720.33678728773,1399402.006511448,7802891.198381709,9202293.204893155,277,0.38748789782767945,-0.029408441127621976
1583956.6162472346,177843.42178512254,1357565.2076686237,7880635.754299012,9238200.961967634,278,0.3807788191683642,-0.029896197553066828
1558212.1933494424,169387.1866473143,1316345.5763893006,7956056.043613936,9272401.620003235,279,0.374389711623009,-0.03036291078062492
1533690.1306283337,161334.79039778555,1275789.7255605324,8029186.353413342,9304976.078973873,280,0.36830466676398943,-0.03080942539421283
1510329.5016699038,153669.49812587214,1235938.4398152907,8100063.560388926,9336002.000204217,281,0.3625085433750113,-0.03123656269275299
1488072.395218455,146374.77801465313,1196827.0197215534,8168726.807045331,9365553.826766884,282,0.356986940668619,-0.031645119881199335
1466863.7953182813,139434.38214277837,1158485.6255090712,8235217.197029862,9393702.822538933,283,0.3517261705310739,-0.032035869495495306
1446651.4604368324,132832.4127660006,1120939.617239016,8299577.509558143,9420517.12679716,284,0.3467132291922093,-0.032409559034067725
1427385.8027469157,126553.3756932247,1084209.888821763,8361851.932738088,9446061.821559852,285,0.34193576865454506,-0.032766910770556934
1409019.7685376203,120582.22226920763,1048313.1937427553,8422085.815450408,9470399.009193165,286,0.33738206815999205,-0.0331086217245421
1391508.720542241,114904.38136666239,1013262.4607660823,8480325.437325004,9493587.898091089,287,0.33304100592334607,-0.03343536376903988
1374810.3228140841,109505.78267815334,979067.0982512991,8536617.796256453,9515684.894507755,288,0.32890203131889045,-0.03374778385545796
1358884.4286452876,104372.87248576646,945733.2860429658,8591010.41282597,9536743.698868938,289,0.32495513766922557,-0.03404650433853862
1343692.9719074136,99492.6229763777,913264.2541767305,8643551.150939468,9556815.4051162,290,0.32119083575335566,-0.03433212338553582
1329199.8620934247,94852.53606414005,881660.5478931386,8694288.053949287,9575948.601842428,291,0.31760012812355887,-0.03460521545549966
1315370.8832567353,90440.64258080264,850920.2786635468,8743269.195498906,9594189.474162454,292,0.3141744842971291,-0.03486633183604548
1302173.5969724958,86245.49759950303,821039.3611144443,8790542.544313548,9611581.905427992,293,0.310905816869245,-0.03511600122638203
1289577.2493874533,82256.17256925663,792011.7358900419,8836155.84215324,9628167.578043282,294,0.30778645857654824,-0.03535473035665615
1277552.6823760907,78462.24485576218,763829.5786210077,8880156.494147131,9643986.072768139,295,0.3048091403271126,-0.03558300463485409
1266072.2487809544,74853.7852094057,736483.4952724444,8922591.470737187,9659074.966009632,296,0.3019669702009878,-0.03580128881357669
1255109.7316828682,71421.34361337543,709962.7042292028,8963507.220474545,9673469.924703749,297,0.2992534134160971,-0.03601002766997641
1244640.2676210627,68155.93390337803,684255.2055438278,9002949.592931723,9687204.798475552,298,0.2966622732466531,-0.03620964669304039
1234640.273663138,65049.01749526865,659347.9378240939,9040963.771017492,9700311.708841586,299,0.29418767287519004,-0.03640055277319865
1225087.378209395,62092.48650761354,635226.9232752643,9077594.21200772,9712821.135282984,300,0.29182403815455643,-0.036583134889950464
